Plan Name,Fixed / Mobile,Monthly Price,Introductory Rate?,Time Intro Applies,Price After Intro,Length of Contract,Link to Terms of Contract,Additional Fee 1,Add'l Fee Amount 1,Additional Fee 2,Add'l Fee Amount 2,Additional Fee 3,Add'l Fee Amount 3,ETF,Gvt Taxes,Bundles & Dicount link,Download,Upload,Latency,Data Included,Addt'l Data Charges,Network Policy Link,Privacy Policy Link,Customer Support Phone,Customer Support Link,UPI
Brightspeed Fiber Internet 200 Mbps,Fixed,29.99,No,n/a,29.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,216.1 Mbps,215.3 Mbps,2.9 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR200M200M02999
Brightspeed Fiber Internet 200 Mbps,Fixed,39.99,No,n/a,39.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,216.1 Mbps,215.3 Mbps,2.9 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR200M200M03999
Brightspeed Fiber Internet 200 Mbps,Fixed,59.99,No,n/a,59.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,216.1 Mbps,215.3 Mbps,2.9 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR200M200M05999
Brightspeed Fiber Internet 200 Mbps,Fixed,69.99,No,n/a,69.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,216.1 Mbps,215.3 Mbps,2.9 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR200M200M06999
Brightspeed Fiber Internet 500 Mbps,Fixed,39.99,No,n/a,39.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,527.6 Mbps,531.7 Mbps,5.2 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR500M500M03999
Brightspeed Fiber Internet 500 Mbps,Fixed,44.99,No,n/a,44.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,527.6 Mbps,531.7 Mbps,5.2 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR500M500M04499
Brightspeed Fiber Internet 500 Mbps,Fixed,49.99,No,n/a,49.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,527.6 Mbps,531.7 Mbps,5.2 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR500M500M04999
Brightspeed Fiber Internet 500 Mbps,Fixed,54.99,No,n/a,54.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,527.6 Mbps,531.7 Mbps,5.2 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR500M500M05499
Brightspeed Fiber Internet 500 Mbps,Fixed,59.99,No,n/a,59.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,527.6 Mbps,531.7 Mbps,5.2 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR500M500M05999
Brightspeed Fiber Internet 500 Mbps,Fixed,69.99,No,n/a,69.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,527.6 Mbps,531.7 Mbps,5.2 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR500M500M06999
Brightspeed Fiber Internet 500 Mbps,Fixed,59.99,No,n/a,59.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,527.6 Mbps,531.7 Mbps,5.2 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR500M500M05999
Brightspeed Fiber Internet 500 Mbps,Fixed,79.99,No,n/a,79.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,527.6 Mbps,531.7 Mbps,5.2 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR500M500M07999
Brightspeed Fiber Internet 1 Gig,Fixed,49.99,No,n/a,49.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,944.5 Mbps,935.6 Mbps,3.0 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR001G001G04999
Brightspeed Fiber Internet 1 Gig,Fixed,59.99,No,n/a,59.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,944.5 Mbps,935.6 Mbps,3.0 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR001G001G05999
Brightspeed Fiber Internet 1 Gig,Fixed,69.99,No,n/a,69.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,944.5 Mbps,935.6 Mbps,3.0 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR001G001G06999
Brightspeed Fiber Internet 1 Gig,Fixed,79.99,No,n/a,79.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,944.5 Mbps,935.6 Mbps,3.0 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR001G001G07999
Brightspeed Fiber Internet 1 Gig,Fixed,89.99,No,n/a,89.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,944.5 Mbps,935.6 Mbps,3.0 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR001G001G08999
Brightspeed Fiber Internet 2 Gig,Fixed,69.99,No,n/a,69.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,2000 Mbps,2000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR002G002G06999
Brightspeed Fiber Internet 2 Gig,Fixed,79.99,No,n/a,79.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,2000 Mbps,2000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR002G002G07999
Brightspeed Fiber Internet 2 Gig,Fixed,89.99,No,n/a,89.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,2000 Mbps,2000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR002G002G08999
Brightspeed Fiber Internet 2 Gig,Fixed,99.99,No,n/a,99.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,2000 Mbps,2000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR002G002G09999
Brightspeed Fiber Internet 2 Gig,Fixed,109.99,No,n/a,109.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,2000 Mbps,2000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR002G002G10999
Brightspeed Fiber Internet 5 Gig,Fixed,99.99,No,n/a,99.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,5280 Mbps,5501 Mbps,2.8 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR005G005G09999
Brightspeed Fiber Internet 5 Gig,Fixed,109.99,No,n/a,109.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,5280 Mbps,5501 Mbps,2.8 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR005G005G10999
Brightspeed Fiber Internet 5 Gig,Fixed,119.99,No,n/a,119.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,5280 Mbps,5501 Mbps,2.8 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR005G005G11999
Brightspeed Fiber Internet 5 Gig,Fixed,129.99,No,n/a,129.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,5280 Mbps,5501 Mbps,2.8 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR005G005G12999
Brightspeed Fiber Internet 8 Gig,Fixed,89.99,No,n/a,89.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,8000 Mbps,8000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR008G008G08999
Brightspeed Fiber Internet 8 Gig,Fixed,99.99,No,n/a,99.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,8000 Mbps,8000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR008G008G09999
Brightspeed Fiber Internet 8 Gig,Fixed,109.99,No,n/a,109.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,8000 Mbps,8000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR008G008G10999
Brightspeed Fiber Internet 8 Gig,Fixed,119.99,No,n/a,119.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,8000 Mbps,8000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR008G008G11999
Brightspeed Fiber Internet 8 Gig,Fixed,129.99,No,n/a,129.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,8000 Mbps,8000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR008G008G12999
Brightspeed Fiber Internet 8 Gig,Fixed,139.99,No,n/a,139.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,8000 Mbps,8000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR008G008G13999
Brightspeed Fiber Internet 8 Gig,Fixed,149.99,No,n/a,149.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,8000 Mbps,8000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR008G008G14999
