"FCCPlanId","providerName","planName","serviceType","priceAmount","planDisclaimer","priceDescription","introductoryRateValue","priceAfterIntroductory","introductoryPeriodLength","contractStatus","contractPeriod","contractLinkURL","lineItemDisclaimer","terminationFee","terminationDescription","otherTerminationFees","otherTerminationFeesAmount","terminationLinkText","onTimeyFeeType","oneTimeFee","monthlyFeeType","monthlyFee","latePaymentFees","latePaymentDescription","tax","discountsBundlesLinks","speedsDownloadSpeed","speedsUploadSpeed","speedsLatency","networkDisclaimerLinkLabel","networkDisclaimerLinkText","dataMonthly","dataAadditionalUsageCharge","dataSpeedDescription","dataDetailsLinkText","networkPolicyLinkText","privacyPolicylinkText","contactUsNumbers","customerSupportlinkText"
"M0005937974906214003922982","AT&T","$40 Monthly - Member","Mobile","40.00*","","","is not","","","does not require a contract.","","","Fees are listed on a per-line basis","0.00","","","","","","","","","","","Varies by location","att.com/prepaiddiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/prepaidmap","15GB","$10/1GB  or $20/3GB","","att.com/prepaiddata","att.com/bbnetwork","att.com/privacy","(877)426-0525","att.com/prepaidsupport"
"F0005937974203974481261209","AT&T","1000S","Fixed","160*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","","Installation Fee","150.00","","","9.99","","Varies by location","att.com/smbbbdiscounts","1 Gbps","1 Gbps","8","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
"M0005937974918096081834780","AT&T","AT&T Business Unlimited for Wearable","Mobile","10","This Monthly Price requires at least one phone line in the same group.","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","Fees are listed on a per-line basis","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","0","","","","See the terms of your contract.","Varies by location","att.com/smbmobdiscounts","12-78 Mbps (4G LTE)","1-12 Mbps (4G LTE)","29-52 ms (4G LTE)","Performance varies. See coverage at","att.com/wirelesscoverage","Unlimited","","AT&T may temporarily slow data speeds if the network is busy.","","att.com/bbnetwork","att.com/privacy","(800) 331-0500","business.att.com/support"
"M0005937974822999134887776","AT&T","Unlimited Data","Mobile","20.00","","","is not","","","does not require a contract.","","","","0.00","","","","","","","","","0.00","","Varies by location","att.com/CCdiscounts","12-78 Mbps (4G LTE)","1-12 Mbps (4G LTE)","29-82 ms (4G LTE)","Performance varies. See coverage at","att.com/wirelesscoverage","Unlimited","","After 22GB AT&T may temporarily slow data speeds if the network is busy.","","att.com/bbnetwork","att.com/privacy","(866) 595-1334","att.com/support"
"M0005937974657189860225810","AT&T","Access to Unlimited for Connected Car","Mobile","20.00","","","is not","","","does not require a contract.","","","","0.00","","","","","","","","","0.00","","Varies by location","att.com/CCdiscounts","12-78 Mbps (4G LTE)","1-12 Mbps (4G LTE)","29-82 ms (4G LTE)","Performance varies. See coverage at","att.com/wirelesscoverage","Unlimited","","After 22GB AT&T may temporarily slow data speeds if the network is busy.","","att.com/bbnetwork","att.com/privacy","(866) 595-1334","att.com/support"
"M0005937974237744740763395","AT&T","AT&T Wireless Broadband Advanced","Mobile","85*","","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","50.00","","","","See the terms of your contract.","Varies by location","att.com/bwbbdiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 Mbps (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G);  23-39 ms (5G+)","Performance varies. See coverage at","att.com/wirelesscoverage","Unlimited","","AT&T may temporarily slow data speeds if the network is busy.","","att.com/bbnetwork","att.com/privacy","(800) 331-0500","business.att.com/support "
"F0005937974522927243906908","AT&T","Internet 18","Fixed","130*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","","Installation Fee","150.00","","","9.99","","Varies by location","att.com/smbbbdiscounts","17.0 Mpbs","0.5 Mbps","29 ms","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
"M0005937974877609057577997","AT&T","AT&T Wireless Broadband on AT&T Control Center Premium","Mobile","65.00","","","is not","","","requires acceptance of the Online Master Terms and Conditions.","","fastactivation.att.com/terms","","0.00","","","","","","","","","","See the terms of your contract.","Varies by location","att.com/bbfdiscounts","12-78 Mbps (4G LTE); 53-100 Mbps (5G); 100 Mbps (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-82 ms (4G LTE); 26-75 ms (5G); 23-69 ms (5G+)","Performance varies. See coverage at","https://fastactivation.att.com/merakiportal-1/#/coverage-map","Unlimited","","AT&T may temporarily slow data speeds if the network is busy.","","att.com/bbnetwork","att.com/privacy","866-516-9473","fastactivation.att.com
"
"M0005937974696883532968972","AT&T","$75 Unlimited MAX Plus - Owner","Mobile","75.00*","","","is not","","","does not require a contract.","","","Fees are listed on a per-line basis","0.00","","","","","","","","","","","Varies by location","att.com/prepaiddiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/prepaidmap","Unlimited","","","","att.com/bbnetwork","att.com/privacy","(877)426-0525","att.com/prepaidsupport"
"F0005937974346657055159751","AT&T","Internet 45","Fixed","130*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","","Installation Fee","150.00","","","9.99","","Varies by location","att.com/smbbbdiscounts","53.0 Mbps","4.9 Mpbs","26 ms","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
"F0005937974704200587217824","AT&T","Access from AT&T Internet 100 (Copper 100Mbps - Unlimited Data)","Fixed","30.00","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Equipment Fee - Gateway","150.00","","Installation Fee","0.00","","","9.99","","Varies by location","att.com/bbdiscounts","107.0 Mbps","20.6 Mbps","26 ms","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","(800) 288-2020","att.com/access"
"M0005937974219408472663380","AT&T","Accessibility Plan for Wearables Only","Mobile","55*","","","is not","","","does not require a contract.","","","","0.00","","","","","Activation Fee","35.00","","","8.00","","Varies by location","https://www.att.com/A11Yplans","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 Mbps (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/wirelesscoverage","Unlimited","","","","att.com/bbnetwork","att.com/privacy","(866) 241-6598 [VOICE],(866) 241-6567 [TTY]","https://www.att.com/A11Yplans"
"M0005937974284534841996953","AT&T","$45 Unlimited Monthly (Private)","Mobile","45.00","","","is not","","","does not require a contract.","","","","0.00","","","","","","","","","","","Varies by location","att.com/prepaiddiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/prepaidmap","Unlimited","","After 16GB, speeds slowed to max 1.5 Mbps","","att.com/bbnetwork","att.com/privacy","(877)426-0525","att.com/prepaidsupport"
"F0005937974900973265419353","AT&T","Access from AT&T Internet 45 (Copper 45Mbps - Unlimited Data)","Fixed","30.00","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Equipment Fee - Gateway","150.00","","Installation Fee","0.00","","","9.99","","Varies by location","att.com/bbdiscounts","53.0 Mbps","4.9 Mbps","26 ms","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","(800) 288-2020","att.com/access"
"M0005937974369064553158440","AT&T","AT&T Wireless Broadband Premium","Mobile","105*","","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","50.00","","","","See the terms of your contract.","Varies by location","att.com/bwbbdiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 Mbps (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G);  23-39 ms (5G+)","Performance varies. See coverage at","att.com/wirelesscoverage","Unlimited","","AT&T may temporarily slow data speeds if the network is busy.","","att.com/bbnetwork","att.com/privacy","(800) 331-0500","business.att.com/support "
"F0005937974200546489945490","AT&T","Internet 25 (eRate)","Fixed","30","","","is not","","","requires a contract.","12","Terms of Service - Legal Policy Center - AT&T (att.com)","","","$20 per month remaining in term, per AT&T Internet line installed may be applied until end of Service Agreement Term","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","att.com/smbbbcontracts","Installation Fee","150.00","","","","See the terms of your contract.","Varies by location","att.com/erateandrhc","25 Mbps","2 Mbps","22","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
"M0005937974258383863534867","AT&T","AT&T Business Unlimited Premium - 2 Lines","Mobile","105*","","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","Fees are listed on a per-line basis","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","0","","","","See the terms of your contract.","Varies by location","att.com/smbmobdiscounts","12-78 Mpbs (4G LTE); 53-304 Mbps (5G); 167-474 Mbps (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms(5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/wirelesscoverage","Unlimited","","","","att.com/bbnetwork","att.com/privacy","(800) 331-0500","business.att.com/support"
"F0005937974601917574323436","AT&T","Internet 12 (eRate)","Fixed","30","","","is not","","","requires a contract.","12","Terms of Service - Legal Policy Center - AT&T (att.com)","","","$20 per month remaining in term, per AT&T Internet line installed may be applied until end of Service Agreement Term","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","att.com/smbbbcontracts","Installation Fee","150.00","","","","See the terms of your contract.","Varies by location","att.com/erateandrhc","12 Mbps","1 Mbps","24","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
"M0005937974777855042919471","AT&T","$65 Unlimited MAX - Owner","Mobile","65.00*","","","is not","","","does not require a contract.","","","Fees are listed on a per-line basis","0.00","","","","","","","","","","","Varies by location","att.com/prepaiddiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/prepaidmap","Unlimited","","After 50GB, AT&T may temporarily slow data speeds if the network is busy.","","att.com/bbnetwork","att.com/privacy","(877)426-0525","att.com/prepaidsupport"
"F0005937974852607247152195","AT&T","Internet 45 (Copper 45Mbps)","Fixed","70.00*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Equipment Fee - Gateway","150.00","","Installation Fee","99.00","","","9.99","","Varies by location","att.com/bbdiscounts","53.0 Mbps","4.9 Mbps","26 ms","","","1.5 TB","$10.00/50GB","","att.com/bbusage","att.com/bbnetwork","att.com/privacy","(800) 288-2020","att.com/support/internet/"
"M0005937974260165422456450","AT&T","AT&T Mobile Select® - Pooled for Connected Device LTE","Mobile","5.00*","","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","Fees are listed on a per-line basis","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","0.00","","","","See the terms of your contract.","Varies by location","att.com/smbmobdiscounts","12-78 Mbps (4G LTE)","1-12 Mbps (4G LTE)","29-52 ms (4G LTE)","Performance varies. See coverage at","att.com/wirelesscoverage","0GB","$0.000009536/KB","","att.com/mobileselect","att.com/bbnetwork","att.com/privacy","800-331-0500","business.att.com/support"
"M0005937974824859219088876","AT&T","AT&T 4GB - 3+ Lines","Mobile","50*","","","is not","","","does not require a contract.","","","Fees are listed on a per-line basis","0.00","","","","","Activation Fee","35.00","","","8.00","","Varies by location","att.com/mobilitydiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 Mbps (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/wirelesscoverage","4GB","$10.00/2GB","","att.com/4gbplan","att.com/bbnetwork","att.com/privacy","(800) 331-0500","att.com/support"
"M0005937974572757592609139","AT&T","Standalone Unlim Data for US/CAN GM Conn Car","Mobile","25.00","","","is not","","","does not require a contract.","","","","0.00","","","","","","","","","0.00","","Varies by location","att.com/CCdiscounts","12-78 Mbps (4G LTE)","1-12 Mbps (4G LTE)","29-82 ms (4G LTE)","Performance varies. See coverage at","att.com/wirelesscoverage","Unlimited","","After 200GB AT&T may temporarily slow data speeds if the network is busy.","","att.com/bbnetwork","att.com/privacy","(866) 563-4703","att.com/support"
"F0005937974249440101547693","AT&T","Internet 75 (Copper 75X20Mbps)","Fixed","70.00*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Equipment Fee - Gateway","150.00","","Installation Fee","99.00","","","9.99","","Varies by location","att.com/bbdiscounts","87.0 Mbps","20.5 Mbps","26 ms","","","1.5 TB","$10.00/50GB","","att.com/bbusage","att.com/bbnetwork","att.com/privacy","(800) 288-2020","att.com/support/internet/"
"M0005937974158216770935862","AT&T","AT&T Mobile Select(R) - Pooled 10GB for Smartphone 5G","Mobile","105.00*","","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","Fees are listed on a per-line basis","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","0.00","","","","See the terms of your contract.","Varies by location","att.com/smbmobdiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 Mbps (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/wirelesscoverage","10GB","$0.000009536/KB","","att.com/mobileselect","att.com/bbnetwork","att.com/privacy","800-331-0500","business.att.com/support"
"F0005937974261175935982297","AT&T","Internet 24","Fixed","130*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","","Installation Fee","150.00","","","9.99","","Varies by location","att.com/smbbbdiscounts","30.7 Mpbs","3.7 Mbps","29 ms","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
"F0005937974266198407276934","AT&T","Access from AT&T Internet 24 (Copper 24Mbps - Unlimited Data)","Fixed","30.00","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Equipment Fee - Gateway","150.00","","Installation Fee","0.00","","","9.99","","Varies by location","att.com/bbdiscounts","30.7 Mbps","3.7 Mbps","29 ms","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","(800) 288-2020","att.com/access"
"F0005937974373507240150377","AT&T","Access from AT&T Internet 5 (Copper 5Mbps)","Fixed","15.00","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Equipment Fee - Gateway","150.00","","Installation Fee","0.00","","","9.99","","Varies by location","att.com/bbdiscounts","6.4 Mbps","0.5 Mbps","40 ms","","","1.5 TB","$10/50GB","","att.com/bbusage","att.com/bbnetwork","att.com/privacy","(800) 288-2020","att.com/access"
"M0005937974778873618468352","AT&T","AT&T Mobile Select(R) - Pooled 7GB for Data Device LTE","Mobile","60.00*","","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","Fees are listed on a per-line basis","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","0.00","","","","See the terms of your contract.","Varies by location","att.com/smbmobdiscounts","12-78 Mbps (4G LTE)","1-12 Mbps (4G LTE)","29-52 ms (4G LTE)","Performance varies. See coverage at","att.com/wirelesscoverage","7GB","$0.000009536/KB","","att.com/mobileselect","att.com/bbnetwork","att.com/privacy","800-331-0500","business.att.com/support"
"F0005937974346269683895315","AT&T","Internet 1G / 1G (eRate)","Fixed","120","","","is not","","","requires a contract.","12","Terms of Service - Legal Policy Center - AT&T (att.com)","","","$20 per month remaining in term, per AT&T Internet line installed may be applied until end of Service Agreement Term","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","att.com/smbbbcontracts","Installation Fee","150.00","","","","See the terms of your contract.","Varies by location","att.com/erateandrhc","1 Gbps","1 Gbps","8","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
"M0005937974386817346780750","AT&T","Unlimited Data for Audi","Mobile","20.00","","","is not","","","does not require a contract.","","","","0.00","","","","","","","","","0.00","","Varies by location","att.com/CCdiscounts","12-78 Mbps (4G LTE)","1-12 Mbps (4G LTE)","29-82 ms (4G LTE)","Performance varies. See coverage at","att.com/wirelesscoverage","Unlimited","","After 22GB AT&T may temporarily slow data speeds if the network is busy.","","att.com/bbnetwork","att.com/privacy","(866) 595-1334","att.com/support"
"F0005937974310593173231037","AT&T","Access from AT&T Internet 100 (Fiber 100Mbps - Unlimited Data)","Fixed","30.00","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Equipment Fee - Gateway","150.00","","Installation Fee","0.00","","","9.99","","Varies by location","att.com/bbdiscounts","132.3 Mbps","124.7 Mbps","12 ms","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","(800) 288-2020","att.com/access"
"F0005937974613833894333797","AT&T","Internet 24 (eRate)","Fixed","30","","","is not","","","requires a contract.","12","Terms of Service - Legal Policy Center - AT&T (att.com)","","","$20 per month remaining in term, per AT&T Internet line installed may be applied until end of Service Agreement Term","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","att.com/smbbbcontracts","Installation Fee","150.00","","","","See the terms of your contract.","Varies by location","att.com/erateandrhc","30.7 Mbps","3.7 Mbps","29 ms","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
"F0005937974252624469624070","AT&T","300S","Fixed","70*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","","Installation Fee","150.00","","","9.99","","Varies by location","att.com/smbbbdiscounts","300 Mbps","300 Mbps","11","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
"F0005937974431903419203824","AT&T","Internet 2000 (Fiber 2GIG)","Fixed","155.00*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Equipment Fee - Gateway; Non-Return Equipment Fee - WiFi Extender","150.00; 65.00","","Installation Fee","0.00","","","9.99","","Varies by location","att.com/bbdiscounts","2525.7 Mbps","2495.7 Mbps","5 ms","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","(800) 288-2020","att.com/support/internet/"
"F0005937974965766664181268","AT&T","Internet Basic 6 (Copper 6Mbps)","Fixed","70.00*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Equipment Fee - Gateway","150.00","","Installation Fee","99.00","","","9.99","","Varies by location","att.com/bbdiscounts","6.8 Mbps","0.5 Mbps","39 ms","","","1.5 TB","$10.00/50GB","","att.com/bbusage","att.com/bbnetwork","att.com/privacy","(800) 288-2020","att.com/support/internet/"
"M0005937974635170312366222","AT&T","AT&T Business Connect (Backup) 35GB LTE","Mobile","245.00*","","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","Fees are listed on a per-line basis","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","0.00","","","","See the terms of your contract.","Varies by location","att.com/smbmobdiscounts","12-78 Mbps (4G LTE)","1-12 Mbps (4G LTE)","29-52 ms (4G LTE)","Performance varies. See coverage at","att.com/wirelesscoverage","35GB","$0.00001431/KB","","att.com/businessconnect","att.com/bbnetwork","att.com/privacy","800-331-0500","business.att.com/support"
"M0005937974844746980265439","AT&T","AT&T Business Unlimited Standard - 1 Line","Mobile","95*","","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","Fees are listed on a per-line basis","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","0","","","","See the terms of your contract.","Varies by location","att.com/smbmobdiscounts","12-78 Mpbs (4G LTE); 53-304 Mbps (5G); 167-474 Mbps (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms(5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/wirelesscoverage","Unlimited","","AT&T may temporarily slow data speeds if the network is busy.","","att.com/bbnetwork","att.com/privacy","(800) 331-0500","business.att.com/support"
"F0005937974739126001044007","AT&T","Internet Express","Fixed","110*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","","Installation Fee","150.00","","","9.99","","Varies by location","att.com/smbbbdiscounts","1.5 Mbps","0.4 Mbps","31","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
"M0005937974508256751582540","AT&T","AT&T Unlimited Starter (R) SL - 1 Line","Mobile","75.99*","","","is not","","","does not require a contract.","","","Fees are listed on a per-line basis","0.00","","","","","Activation Fee","35.00","","","8.00","","Varies by location","att.com/mobilitydiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 Mbps (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/wirelesscoverage","Unlimited","","AT&T may temporarily slow data speeds if the network is busy.","","att.com/bbnetwork","att.com/privacy","(800) 331-0500","att.com/support"
"F0005937974214833776265232","AT&T","Internet 10 (eRate)","Fixed","30","","","is not","","","requires a contract.","12","Terms of Service - Legal Policy Center - AT&T (att.com)","","","$20 per month remaining in term, per AT&T Internet line installed may be applied until end of Service Agreement Term","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","att.com/smbbbcontracts","Installation Fee","150.00","","","","See the terms of your contract.","Varies by location","att.com/erateandrhc","12.5 Mbps","0.5 Mbps","37 ms","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
"M0005937974981441186670042","AT&T","FirstNet (R) Unlimited Extra Tablet","Mobile","20.00","","","is not","","","does not require a contract.","","","","0.00","","","","","Activation Fee","35.00","","","8.00","","Varies by location","att.com/fnplans","25-101 Mbps (4G LTE); 67-338 Mbps (5G); 190-477 Mbps (5G+)","3-13 Mbps (4G LTE); 4-22 Mbps (5G); 9-35 Mbps (5G+)","33-60 ms (4G LTE); 27-47 ms (5G); 25-40 ms (5G+)","Performance varies. See coverage at","firstnet.com/coverage","Unlimited","","","","att.com/bbnetwork","att.com/privacy","(800)574-7000","firstnet.com/support"
"F0005937974672990162102205","AT&T","Access from AT&T Internet 25 (Copper 25x2Mbps - Unlimited Data)","Fixed","30.00","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Equipment Fee - Gateway","150.00","","Installation Fee","0.00","","","9.99","","Varies by location","att.com/bbdiscounts","28.2 Mbps","1.8 Mbps","22 ms","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","(800) 288-2020","att.com/access"
"F0005937974352507544677562","AT&T","Internet Basic 768 (Copper 768K)","Fixed","70.00*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Equipment Fee - Gateway","150.00","","Installation Fee","99.00","","","9.99","","Varies by location","att.com/bbdiscounts","0.75 Mbps","0.2 Mbps","49 ms","","","1.5 TB","$10.00/50GB","","att.com/bbusage","att.com/bbnetwork","att.com/privacy","(800) 288-2020","att.com/support/internet/"
"M0005937974951211656034019","AT&T","AT&T DataConnect (R) 50GB","Mobile","65*","","","is not","","","does not require a contract.","","","","0.00","","","","","Activation Fee","35.00","","","8.00","","Varies by location","att.com/mobilitydiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 Mbps (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/wirelesscoverage","50GB","$10.00/5GB","","att.com/dataonlyplans","att.com/bbnetwork","att.com/privacy","(800) 331-0500","att.com/support"
"M0005937974755211953603573","AT&T","$50 Monthly Unlimited Special","Mobile","50.00*","","","is not","","","does not require a contract.","","","","0.00","","","","","Activation Fee","15.00 (only in AT&T stores) ","","","","","Varies by location","att.com/prepaiddiscounts","3 Mbps then speeds slowed to max. 1.5 Mbps;  30GB at max.","3 Mbps then speeds slowed to max. 1.5 Mbps;  30GB at max.","37-70 ms ","Performance varies. See coverage at","att.com/prepaidmap","Unlimited","","30GB at max. 3 Mbps, then speeds slowed to max. 1.5 Mbps","","att.com/bbnetwork","att.com/privacy","(877)426-0525","att.com/prepaidsupport"
"F0005937974521959684532908","AT&T","Internet 100M /100M (eRate)","Fixed","100","","","is not","","","requires a contract.","12","Terms of Service - Legal Policy Center - AT&T (att.com)","","","$20 per month remaining in term, per AT&T Internet line installed may be applied until end of Service Agreement Term","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","att.com/smbbbcontracts","Installation Fee","150.00","","","","See the terms of your contract.","Varies by location","att.com/erateandrhc","100 Mbps","100 Mbps","8","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
"F0005937974799698028663483","AT&T","Internet 1G / 1G (Home Based Business)","Fixed","120*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","","Installation Fee","150.00","","","9.99","","Varies by location","att.com/smbbbdiscounts","1 Gbps","1 Gbps","8","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
